run,actor/entropy,actor/grad_norm,actor/lr,actor/pg_clipfrac,actor/pg_clipfrac_lower,actor/pg_loss,actor/ppo_kl,actor/total_loss,actor/trace_credit_nonzero,actor/trace_loss,critic/advantages/max,critic/advantages/mean,critic/advantages/min,critic/returns/max,critic/returns/mean,critic/returns/min,critic/rewards/max,critic/rewards/mean,critic/rewards/min,critic/score/max,critic/score/mean,critic/score/min,global_seqlen/balanced_max,global_seqlen/balanced_min,global_seqlen/max,global_seqlen/mean,global_seqlen/min,global_seqlen/minmax_diff,num_turns/max,num_turns/mean,num_turns/min,overlong_masked,perf/cpu_memory_used_gb,perf/max_memory_allocated_gb,perf/max_memory_reserved_gb,perf/mfu/actor,perf/throughput,perf/time_per_step,perf/total_num_tokens,prompt_length/clip_ratio,prompt_length/max,prompt_length/mean,prompt_length/min,response/aborted_ratio,response_length/clip_ratio,response_length/max,response_length/mean,response_length/min,response_length_non_aborted/clip_ratio,response_length_non_aborted/max,response_length_non_aborted/mean,response_length_non_aborted/min,reward/avg_num_turns,reward/avg_score,reward/avg_trajs_per_gen_uid,reward/max_score,reward/min_score,reward/num_unique_gen_uids,reward/overlong_rate,reward/reward_score,reward/std_score,rollout_corr/chi2_seq,rollout_corr/chi2_token,rollout_corr/k3_kl,rollout_corr/kl,rollout_corr/log_ppl_abs_diff,rollout_corr/log_ppl_diff,rollout_corr/log_ppl_diff_max,rollout_corr/log_ppl_diff_min,rollout_corr/ppl_ratio,rollout_corr/rollout_is_catastrophic_token_fraction,rollout_corr/rollout_is_veto_fraction,rollout_corr/rollout_log_ppl,rollout_corr/rollout_ppl,rollout_corr/training_log_ppl,rollout_corr/training_ppl,step,timing_per_token_ms/adv,timing_per_token_ms/gen,timing_per_token_ms/update_actor,timing_s/adv,timing_s/agent_loop/generate_sequences/max,timing_s/agent_loop/generate_sequences/mean,timing_s/agent_loop/generate_sequences/min,timing_s/agent_loop/slowest/generate_sequences,timing_s/agent_loop/slowest/prompt_length,timing_s/agent_loop/slowest/response_length,timing_s/agent_loop/slowest/tool_calls,timing_s/agent_loop/tool_calls/max,timing_s/agent_loop/tool_calls/mean,timing_s/agent_loop/tool_calls/min,timing_s/dump_rollout_generations,timing_s/gen,timing_s/old_log_prob,timing_s/reward,timing_s/save_checkpoint,timing_s/start_profile,timing_s/step,timing_s/stop_profile,timing_s/testing,timing_s/update_actor,trace/credit_abs_mean,trace/credit_nonzero,trace/reference_online,trace/rollout_logprob_proxy,training/epoch,training/global_step,training/rollout_actor_probs_pearson_corr,training/rollout_probs_diff_max,training/rollout_probs_diff_mean,training/rollout_probs_diff_std,training/rollout_probs_diff_valid,val-aux/num_turns/max,val-aux/num_turns/mean,val-aux/num_turns/min,val-aux/unknown/avg_num_turns/mean@1,val-aux/unknown/avg_score/mean@1,val-aux/unknown/avg_trajs_per_gen_uid/mean@1,val-aux/unknown/max_score/mean@1,val-aux/unknown/min_score/mean@1,val-aux/unknown/num_unique_gen_uids/mean@1,val-aux/unknown/overlong_rate/mean@1,val-aux/unknown/reward_score/mean@1,val-aux/unknown/std_score/mean@1,val-core/unknown/reward/mean@1,val/avg_num_turns,val/avg_score,val/avg_trajs_per_gen_uid,val/max_score,val/min_score,val/num_unique_gen_uids,val/overlong_rate,val/reward,val/reward_score,val/std_score
importfix_step1_300,0.1261558086,2.134602865,1e-06,0.001555281069,0,0.00505390758,1.970327895e-05,0.004408783321,779.6547619,-0.0006451242596,1.953553915,-0.02441749908,-0.7596594691,1.49999702,-0.01425255369,-0.4999989867,1,0.1111111119,0,1,0.1111111119,0,513732,510239,612135,511985.5,411836,200299,39,11.97619048,5,0,143.4840851,95.66509676,108.8417969,0.4830205782,457.7379263,1118.512298,1023971,0,5008,4805.202148,0,0.03571428731,0,31323,7384.928711,0,0,31323,7658.444336,251,60.4375,0.125,5.0625,1,0,16,0,0.1071428571,0.3415650255,8.406616184e+15,87427.30515,0.4132219582,-0.0001506236565,0.004115354802,-0.0001506222235,0.01492616534,-0.04343928397,0.9998900635,0,0,0.2792696754,1.332484621,0.2791190532,1.332843837,1,0.4735518132,0.3908127673,0.3047909587,484.9033237,0,0,0,0,5008,31323,0,0,0,0,0.6775220111,242.4344472,77.8140309,0.005694411695,,0.00022546947,1118.512298,6.099045277e-05,,312.0971028,0.008846877143,65491,1,0,0,1,0.8976226449,0.9999963641,0.0151032256,0.08821506053,1,,,,,,,,,,,,,,,,,,,,,,,
importfix_step1_300,0.1195869297,4.8671875,1e-06,0.002213086617,7.751937956e-05,0.006050602942,-0.0004023697759,0.005050637267,805.6666667,-0.0009999656754,2.024495125,0.5293039083,-2.025729179,1.49999702,0.5374568701,-1.49999702,1,0.2586206794,0,1,0.2586206794,0,385342,383173,412568,384257.5,355947,56621,31,10.66666667,5,0,123.2369118,96.28315067,109.3496094,0.497494422,466.5081301,823.6887532,768515,0,5055,4826.616699,0,0.03333333507,0,32404,7981.966797,0,0,32404,8257.207031,174,39.375,0.3125,3.625,1,0,16,0,0.25,0.4787135539,7.846175105e+15,22001235.2,4.763178459,-0.0001158818379,0.003465234923,-0.000115882419,0.008931159973,-0.02928652987,0.9999045293,0,0,0.2823874429,1.335223798,0.2822715605,1.335267721,2,0.4909476848,0.3451677894,0.2932118553,377.30066,0,0,0,0,4933,3454,0,0,0,0,0.4859291017,165.3070674,55.12855353,0.0077528283,,5.506724119e-05,823.6887532,5.710124969e-05,,225.337709,0.008766666986,48340,1,0,0,2,0.9268618822,0.9999997616,0.01099826116,0.07250697166,1,,,,,,,,,,,,,,,,,,,,,,,
importfix_step1_300,0.1073610187,1.724609375,1e-06,0.001531055704,0,-0.005760639426,-3.640172798e-05,-0.00584155791,1025.475,-8.091848337e-05,1.116989374,0.02733080648,-1.201534152,0.8660238981,0.02443546057,-1,1,0.4871794879,0,1,0.4871794879,0,597396,592993,606616,595194.5,583773,22843,188,14.8375,5,0,135.8741531,96.40309,109.5058594,0.52100648,346.3167836,1718.641799,1190389,0,5072,4845.237305,0,0.02500000037,0,32629,10034.625,0,0,32629,10291.92285,264,73.4375,0.375,4.875,1,0,16,0,0.475,0.5,5.884631329e+15,631.4455297,0.02824301225,0.00137054185,0.002942208794,0.001370541623,0.009702503681,-0.01604910567,1.001380011,0,0,0.2645362981,1.31751544,0.2659068397,1.319510898,3,0.6632737434,0.6131312188,0.2944850311,789.5537681,0,0,0,0,4962,29202,0,0,0,0,0.723341696,492.2033485,85.26044017,0.005967073143,,9.197741747e-05,1718.641799,5.597621202e-05,,350.5517417,0.008288623765,82038,1,0,0,3,0.9636880755,0.9999651313,0.00583566865,0.0473649092,1,,,,,,,,,,,,,,,,,,,,,,,
importfix_step1_300,0.1669504493,1.553125,1e-06,0.001057030999,0,-0.001762713978,0.0002870544055,-0.001753711422,944.175,9.002556158e-06,1.19504118,-0.0004380026367,-1.220018744,0.8660238981,0.002860757522,-0.8660238981,1,0.1794871837,0,1,0.1794871837,0,559452,556643,575599,558047.5,540496,35103,37,12.2,5,0,136.4164925,96.51656437,109.7207031,0.5096467557,436.0884339,1279.665904,1116095,0,4995,4824.225098,0,0.02500000037,0.01250000019,32768,9126.962891,0,0.01282051299,32768,9360.987305,206,60.375,0.125,4.875,1,0,16,0,0.175,0.3415650255,5.884631329e+15,2132.783029,0.06176935221,-0.0002248457226,0.00320191877,-0.0002248461358,0.00960290432,-0.04273222387,0.9998021044,0,0,0.2770573026,1.331589387,0.2768324564,1.33162968,4,0.5045217259,0.4201762204,0.2946409788,563.0941756,0,0,0,0,4939,31743,0,0,0,0,0.6520749778,306.7946086,79.95555849,0.005966171622,,6.381422281e-05,1279.665904,5.659461021e-05,,328.8473232,0.00740959635,75534,1,0,0,4,0.9346750975,0.9999807477,0.01284908224,0.07777876407,1,,,,,,,,,,,,,,,,,,,,,,,
importfix_step1_300,0.1274758279,0.2722981771,1e-06,0.001971243746,0,0.002244852462,7.511557529e-05,0.001654047507,777.5795455,-0.0005908049548,0.02601954341,-0.006636559032,-0.0774204433,0,0,0,0,0,0,0,0,0,484140,480695,525256,482417.5,439579,85677,44,11.44318182,5,0,119.5986214,96.51656437,109.7207031,0.4636615279,505.9284237,953.5291503,964835,0,5004,4796.67041,0,0.03409091011,0.0113636367,32768,6167.36377,0,0.01176470611,32768,6385.035156,99,61.875,0,5.3125,0,0,16,0,0,0,8.024497267e+15,461269.7062,0.7210159899,-0.0002324279132,0.0033402162,-0.0002324271005,0.007387399673,-0.03806272894,0.9997954037,0,0,0.2675496447,1.318478391,0.2673172176,1.318629316,5,0.4108761067,0.382194089,0.2913312775,396.4276484,0,0,0,0,5004,28368,0,0,0,0,0.6536211595,207.4274335,67.74371145,0.003747075796,,4.992634058e-05,953.5291503,5.859881639e-05,,281.0866131,0.002222289331,68427,1,0,0,5,0.9122021198,0.9999985099,0.01304712985,0.08192511648,1,,,,,,,,,,,,,,,,,,,,,,,
importfix_step1_300,0.1509790868,1.625,1e-06,0.0008163551205,0,0.005098043984,-5.164620697e-05,0.004204436688,803.4615385,-0.0008936072961,1.946505427,-0.02338190936,-0.819057405,1.49999702,-0.01460154727,-0.4999989867,1,0.04950495064,0,1,0.04950495064,0,568983,566363,571945,567673,563401,8544,49,12.88461538,5,0,120.58461,96.51656437,109.7207031,0.4623077394,477.2565029,1189.450529,1135346,0,5138,4864.903809,0,0.02884615399,0,32198,6051.884766,0,0,32198,6231.643555,229,82.8125,0.0625,6.3125,1,0,16,0,0.04807692308,0.25,6.789959226e+15,10.97433665,0.01112560365,6.257692719e-05,0.002524511844,6.257935176e-05,0.008065998554,-0.02327206358,1.000073464,0,0,0.2977920412,1.362787827,0.2978546206,1.363151249,6,0.4283426241,0.4591012272,0.29297132,486.3170849,0,0,0,0,5023,31960,0,0,0,0,0.8072831556,288.956476,80.38744491,0.0074794963,,7.157772779e-05,1189.450529,7.613748312e-05,,332.6238163,0.005957351997,83560,1,0,0,6,0.9530591965,0.9995804429,0.008635916747,0.06239686906,1,,,,,,,,,,,,,,,,,,,,,,,
importfix_step1_300,0.1636671126,2.30078125,1e-06,0.001507779782,0,0.01338336216,0.0001644447835,0.01274678105,718.8636364,-0.000636581115,2.07147789,-0.1258449256,-1.266092181,1.49999702,-0.105179362,-0.8660238981,1,0.137931034,0,1,0.137931034,0,532460,531574,548116,532017,515918,32198,53,13.44318182,5,0,137.6986465,96.51656437,109.7207031,0.4833964325,485.9912837,1094.704818,1064034,0,4971,4902.09082,0,0.0113636367,0.0113636367,32768,7189.20459,0,0.01149425283,32768,7271.838867,204,73.625,0.25,5.4375,1,0,16,0,0.1363636364,0.4472135955,2.674832422e+15,15.4364759,0.003803971517,0.0002271111209,0.001983908717,0.0002271106324,0.007678363472,-0.007726445794,1.000231134,0,0,0.2139144929,1.249234084,0.2141416035,1.249628605,7,0.4549769004,0.3657794664,0.2856628857,484.1108913,0,0,0,0,4945,7988,0,0,0,0,0.6502627209,231.4103794,74.41746674,0.003915019333,,6.216019392e-05,1094.704818,5.638599396e-05,,303.9550229,0.009103576653,63260,1,0,0,7,0.9894688129,0.9998499155,0.00464025978,0.03002128564,1,,,,,,,,,,,,,,,,,,,,,,,
importfix_step1_300,0.1869271845,2.418108259,1e-06,0.0005474075399,0,0.007445688593,0.0001372857924,0.006415634572,844.16,-0.001030054021,0.9999990463,0.2378860861,-2.037807941,0.9999990463,0.2521631122,-1.49999702,1,0.1919191927,0,1,0.1919191927,0,677959,675386,735735,676672.5,617610,118125,194,15.03,5,0,121.1861153,96.51656437,109.7207031,0.5002117756,404.6610231,1672.195891,1353345,0,5056,4931.22998,0,0.009999999776,0,32058,8602.219727,0,0,32058,8689.111328,173,93.625,0.1875,6.1875,1,0,16,0,0.19,0.4031128874,2.353852532e+15,36206.58227,0.1844839828,0.0005607197205,0.002494636038,0.000560721131,0.009856835008,-0.04857920855,1.000576376,0,0,0.2433404789,1.289554251,0.2439012,1.290469179,8,0.628712091,0.3862559459,0.2902063455,850.8643648,0,0,0,0,5056,31481,0,0,0,0,0.8145138696,332.2658623,95.21120782,0.004237383604,,4.871934652e-05,1672.195891,7.013231516e-05,,392.7493066,0.00647679437,84416,1,0,0,8,0.9591987133,0.9999964833,0.009683132172,0.0636972785,1,,,,,,,,,,,,,,,,,,,,,,,
importfix_step1_300,0.1954772174,1.973958333,1e-06,0.001182475414,0,0.004373790813,-0.0001598102096,0.003826112515,831.3214286,-0.0005476782982,1.122284651,-0.06887882948,-1.340924501,0.8660238981,-0.05528016016,-1,1,0.1686746925,0,1,0.1686746925,0,565741,562009,631703,563875,496047,135656,33,11.28571429,5,0,138.3001747,96.51656437,109.7207031,0.5030410804,456.3468245,1235.628188,1127750,0,5086,4900.5,0,0.01190476213,0,31930,8525.095703,0,0,31930,8627.807617,239,58.9375,0.125,5.1875,1,0,16,0,0.1666666667,0.3415650255,2.802205395e+15,6559.68604,0.05598050925,0.000523199818,0.00231383599,0.0005232014117,0.01196479797,-0.01919350401,1.000529952,0,0,0.2952889675,1.356377641,0.2958121689,1.357155347,9,0.4906370948,0.3824495874,0.2903007208,553.3159836,0,0,0,0,4914,27429,0,0,0,0,0.8090528026,273.8752091,80.04657787,0.005790814757,,0.000113978982,1235.628188,6.172806025e-05,,327.3866379,0.008635582402,69831,1,0,0,9,0.9806482196,0.9999925494,0.006570517085,0.04417615384,1,,,,,,,,,,,,,,,,,,,,,,,
importfix_step1_300,0.207220763,2.582589286,1e-06,0.00116649317,3.216137379e-06,0.01009150121,-0.0002133402496,0.008900945974,720.6944444,-0.001190555238,1.968900681,0.2665992975,-2.054528236,1.49999702,0.2769542336,-1.49999702,1,0.1869158894,0,1,0.1869158894,0,609426,604991,663699,607208.5,550718,112981,29,11.16666667,5,0,139.5772438,96.51656437,109.7207031,0.4739544685,526.4594676,1153.38129,1214417,0,5084,4944.111328,0,0.009259259328,0,32461,6300.490723,0,0,32461,6359.374023,211,75.0625,0.25,6.6875,1,0,16,0,0.1851851852,0.4472135955,2.179493085e+15,0.1499821814,0.001923876853,0.0007799478743,0.002211019017,0.0007799455413,0.01176637411,-0.01610475034,1.000785028,0,0,0.2734067248,1.325247821,0.2741866703,1.326377451,10,0.379611896,0.3804679477,0.2859896273,461.0071399,0,0,0,0,4953,27966,0,0,0,0,0.8023204356,258.8905564,84.91385403,0.006455115974,,9.232014418e-05,1153.38129,6.222724915e-05,,347.3106652,0.007333364803,77835,1,0,0,10,0.9844022989,0.9977940321,0.006361580454,0.04038460925,1,,,,,,,,,,,,,,,,,,,,,,,
